date_time,Hospitals,Offices,Restaurants,Schools,Shops,SFH,MFH,temperature,signal
 01/08  12:00:00,0.000281345,0.00095145,0.000436326,0.000512447,0.000111458,0,0,2.3,67
 01/08  13:00:00,0.000276666,0.000569858,0.000638736,0.000270783,0.000100414,0.000401514,0.000113024,3.6,64.31
 01/08  14:00:00,0.000281066,0.000503594,0.000364904,0.000471943,0.000109793,0.000178124,3.25738E-05,4.4,64.31
 01/08  15:00:00,0.000299113,0.000728618,2.40535E-06,0.000329673,5.30432E-05,0,0,4.7,63.71
 01/08  16:00:00,0.000299531,0.000809093,1.32033E-07,0.000395607,8.06522E-05,0,0,4.3,63.08
 01/08  17:00:00,0.000277004,0.000558562,1.66871E-07,0.00044784,0.000123307,0,0,2.9,61.82
 01/08  18:00:00,0.000306511,0.000243043,3.98979E-06,6.87416E-05,0.000124221,0.00061811,0.000209464,2.2,65.13
 01/08  19:00:00,0.000243855,1.22363E-05,0.000158194,1.64399E-05,8.44229E-05,0.000667849,0.000323775,1.5,68.04
 01/08  20:00:00,0.000175987,0,0.000118754,0.000165839,2.44745E-05,0.000644851,0.000306028,0.8,67.8
 01/08  21:00:00,0.000219072,0,0.000320324,0,3.00448E-05,0.000835623,0.000400536,0.1,63.77
 01/08  22:00:00,0.000187737,0.000715604,0.000478258,0,0,0.000985019,0.000498935,-0.6,60.05
 01/08  23:00:00,0.000166993,0.000767961,0.000501145,0.000419174,0.000181761,0,5.68352E-05,-1.4,60.01
 01/08  24:00:00,0.000186205,0.000809883,0.000518467,0.000457711,0.000181761,0,0.000204399,-2.1,56.24
 01/09  01:00:00,0.000202793,0.00085025,0.000533541,0.000487286,0.000181761,0,0.00025401,-2.6,57.01
 01/09  02:00:00,0.000214905,0.000887692,0.000547772,0.000507676,0.000181761,0,0.000292581,-3.3,53.01
 01/09  03:00:00,0.000225146,0.000921342,0.000559743,0.000527846,0.000181761,0,0.000325919,-3.9,52.57
 01/09  04:00:00,0.000234208,0.000946259,0.000568532,0.000545801,0.000181761,1.20529E-06,0.000351625,-4.2,50.27
 01/09  05:00:00,0.00024204,0.000967995,0.00057599,0.000558364,0.000181761,2.715E-05,0.00037019,-4.5,49.09
 01/09  06:00:00,0.000249639,5.39916E-05,0,0.000568506,0.000181761,5.13208E-05,0.000379424,-4.8,51.87
 01/09  07:00:00,0.000340449,0.000176135,1.22932E-06,0.000169167,7.33916E-05,0.001697042,0.00093108,-5.1,59.22
 01/09  08:00:00,0.00039836,0.00059749,1.46723E-05,0.000584354,7.40147E-05,0.001365098,0.00069563,-5.3,64.56
 01/09  09:00:00,0.000402567,0.000756497,0.000228071,0.000790365,0.000103116,0,0.000173167,-5.1,66.18
 01/09  10:00:00,0.000424338,0.001132754,0.000208507,0.000650398,8.59523E-05,0,0.000263932,-2.7,66.2
 01/09  11:00:00,0.000394797,0.001160588,0.000214397,0.000812301,9.20775E-05,0,0.000230749,-0.4,66.06
 01/09  12:00:00,0.000387986,0.000758237,0.000380613,0.000749149,0.000121906,0,0.000166565,1.5,65.9
 01/09  13:00:00,0.000350603,0.000412303,0.000589681,0.000379129,0.00010254,0.000725002,0.000602124,3,65.94
 01/09  14:00:00,0.000328421,0.000426417,0.00030757,0.000584475,0.000115879,0.000292037,0.000309347,3.8,65.43
 01/09  15:00:00,0.000323353,0.000753117,6.31185E-06,0.000423527,6.37174E-05,0,0,4,64.37
 01/09  16:00:00,0.000319986,0.000793903,1.45368E-07,0.000470238,0.000106313,0,0,3.4,63.75
 01/09  17:00:00,0.000305656,0.000540985,1.04091E-07,0.000469239,7.68421E-05,0,0.000116871,1.8,63.95
 01/09  18:00:00,0.000309072,0.000283668,1.05955E-05,9.20775E-05,0.000132361,0.000737069,0.000663671,1.4,66.63
 01/09  19:00:00,0.00023638,0,0.000145097,1.95223E-05,0.000100762,0.000753849,0.000565478,1,68.22
 01/09  20:00:00,0.000204332,0,0.000143668,0,2.42966E-05,0.000725171,0.000474629,0.6,67.97
 01/09  21:00:00,0.000194468,0,0.000389363,0.000229176,4.23444E-06,0.000906336,0.000546822,0.2,66.13
 01/09  22:00:00,0.000192216,0.000718976,0.000505156,0,0,0.001051588,0.000616144,-0.2,62.24
 01/09  23:00:00,0.000164924,0.000779148,0.000528225,0.000420898,0.000181761,0,0.000118579,-0.6,62.29
 01/09  24:00:00,0.000183422,0.000819865,0.000543248,0.000447634,0.000181761,0,0.000258243,-1,59.04
 01/10  01:00:00,0.000195558,0.000857334,0.000555943,0.000471668,0.000181761,0,0.000307078,-1.2,57.96
 01/10  02:00:00,0.000205808,0.000894912,0.000567439,0.000494453,0.000181761,0,0.000348465,-1.4,53.82
 01/10  03:00:00,0.000215084,0.000928344,0.000578559,0.000516071,0.000181761,0,0.000378088,-1.6,53.55
 01/10  04:00:00,0.000223528,0.000950981,0.000585847,0.00053114,0.000181761,1.21874E-05,0.000397587,-1.7,53.73
 01/10  05:00:00,0.000229423,0.00097456,0.000592467,0.000544907,0.000181761,4.18939E-05,0.000412544,-1.8,52.91
 01/10  06:00:00,0.000235452,0.000997578,0.000599795,0.000556768,0.000181761,6.39354E-05,0.000419195,-1.9,54.9
 01/10  07:00:00,0.000335623,0.000148732,1.91106E-06,0.000167037,3.07762E-05,0.001741347,0.000979236,-2.1,61.84
 01/10  08:00:00,0.000385009,0.0006036,1.41567E-05,0.000551904,6.94608E-05,0.001408882,0.000729574,-2,72.93
 01/10  09:00:00,0.000363046,0.000714387,0.000215494,0.000637894,8.17851E-05,0,0.000188,-1.9,78.27
 01/10  10:00:00,0.000379639,0.001116597,0.00022007,0.000755429,9.65994E-05,0,0.000262496,-1.7,78.17
 01/10  11:00:00,0.000372801,0.000981068,0.000191576,0.000672972,7.88715E-05,0,0.000175865,-1.5,77.85
 01/10  12:00:00,0.000368141,0.000516236,0.000321993,0.000452077,0.000122627,0,9.0439E-06,-1.3,76.88
